38195,AAB,2005,Optimal control of processes based on the use of informatics methods,"[HRUBINA, Kamil - JADLOVSKÁ, Anna - KATALINIC, Branko - WESSELY, Emil - NOVÁK-MARCINČIN, Jozef - HREHOVÁ, Stella - ŠEBEJ, Peter - VYTYKÁČOVÁ, Martina - MACUROVÁ, Anna - SALOKY, Tomáš - KOZÁK, Štefan - SPIŠIAK, Štefan - TAUFER, Ivan - DRÁBEK, Oldřich - KREJČÍ, Stanislav - KAŠPAR, Jiří]",Kamil Hrubina ... [et al.],7
41429,AAB,2005,Evaluation of mineral deposits,"[RYBÁR, Pavol - CEHLÁR, Michal - ENGEL, Jacek - MIHOK, Jozef]",Pavol Rybár ... [et al.],3
42904,AAB,2005,"Program hospodárskeho, sociálneho, environmentálneho a kultúrneho rozvoja obce Nálepkovo","[DANIEL, Dušan - GREGA, Robert]","Dušan Daniel, Robert Grega",0
48794,AAB,2005,Manažérstvo environmentálnych aspektov a rizík,"[MAJERNÍK, Milan - MESÁROŠ, Marián - MIHOK, Jozef - BOSÁK, Martin]",Milan Majerník ... [et al.],3
56950,AAB,2005,Kvantifikácia zvyškových napätí tenzometrickými metódami,"[TREBUŇA, František - ŠIMČÁK, František]","František Trebuňa, František Šimčák",0
53115,AAB,2006,Metrológia v strojárstve,"[DOVICA, Miroslav - KAŤUCH, Peter - KOVÁČ, Jozef - PETRÍK, Martin]",Miroslav Dovica ... [et al.],19
55959,AAB,2006,Súčasné trendy optimalizácie strojov a zariadení,"[HOMIŠIN, Jaroslav - BIGOŠ, Peter - SÁGA, Milan - NĚMEČEK, Pavel - DEJL, Zdeněk - HARLECKI, Andrzej - GANCARCZYK, Tomasz - PEŠÍK, Lubomír - VEREŠ, Miroslav - GADUŠ, Ján - STADNICKI, Jacek]",Jaroslav Homišin ... [et al.],3
56056,AAB,2006,"Princípy, postupy, prístroje v metóde Photostress","[TREBUŇA, František]",Trantišek Trebuňa,0
56291,AAB,2006,Riadenie podniku v kríze,"[MIHOK, Jozef - KÁDÁROVÁ, Jaroslava]","Jozef Mihok, Jaroslava Vidová",54
56645,AAB,2006,Contribution to the reduction of NOx by optimizing the design of high speed burners,"[HORBAJ, Peter - KIZEK, Ján]","Peter Horbaj, Ján Kizek",15
56864,AAB,2006,Surface mining,"[CEHLÁR, Michal - ENGEL, Jacek - MIHOK, Jozef - RYBÁR, Radim]",Michal Cehlár ... [et al.],3
116100,AAB,2007,Kvalita prostredia,"[LUMNITZER, Ervin - BIĽOVÁ, Monika]","Ervin Lumnitzer, Monika Biľová",0
58955,AAB,2007,Bioplyn a jeho využitie,"[HORBAJ, Peter - MARASOVÁ, Daniela - ANDREJČÁK, Imrich]","Peter Horbaj, Daniela Marasová, Imrich Andrejčák",1
61190,AAB,2007,Top trendy v obrábaní,"[MONKA, Peter Pavol - PAULIKOVÁ, Alena]","Peter Monka, Alena Pauliková",0
62766,AAB,2007,Hodnotenie kvality prostredia,"[LUMNITZER, Ervin - BADIDA, Miroslav - BIĽOVÁ, Monika]","Ervín Lumnitzer, Miroslav Badida, Monika Románová",3
64908,AAB,2007,Príručka experimentálnej mechaniky,"[TREBUŇA, František - ŠIMČÁK, František]","František Trebuňa, František Šimčák",1
65800,AAB,2007,Biomechanika hybnosti,"[ŽIVČÁK, Jozef - KNEŽO, Dušan]","Jozef Živčák, Dušan Knežo",1
70481,AAB,2008,Využitie bioplynu,"[HORBAJ, Peter - VÍGLASKÝ, Jozef - ANDREJČÁK, Imrich]","Peter Horbaj, Jozef Víglaský, Imrich Andrejčák",2
71899,AAB,2008,Analýza pohybu človeka pri identifikácii osôb v kriminalistike,"[ŠIMŠÍK, Dušan - PORADA, Viktor - RAK, Roman - MAJERNÍK, Jaroslav - GALAJDOVÁ, Alena]",Dušan Šimšík ... [et al.],6
75601,AAB,2008,Posudzovanie rizík v cestných tuneloch,"[ORAVEC, Milan]",Milan Oravec,1
128833,AAB,2009,Vybrané metódy analýzy a syntézy mechanických sústav,"[SÁGA, Milan - ŽMINDÁK, Milan - DEKÝŠ, Vladimír - SAPIETOVÁ, Alžbeta - SEGĽA, Štefan]",Milan Sága ... [et al.],2
84813,AAB,2009,Verifikácia numerickej simulácie lisovateľnosti vysokopecných oceľových plechov,"[EVIN, Emil]",Emil Evin,2
86720,AAB,2009,Bezpečnosť a riziká technických systémov,"[PAČAIOVÁ, Hana - SINAY, Juraj - GLATZ, Juraj]","Hana Pačaiová, Juraj Sinay, Juraj Glatz",2
100653,AAB,2010,Degradačné procesy a predikcia životnosti,"[OSTERTAG, Oskar - SIVÁK, Peter]","Oskar Ostertag, Peter Sivák",1
103927,AAB,2010,Prejavy kompartment syndrómu,"[MOLČÁNYI, Theodoz - ŽIVČÁK, Jozef - MOLČÁNYIOVÁ, Angela]","Theodoz Molčányi, Jozef Živčák, Angela Molčányiová",0
104593,AAB,2010,Výpočtové a experimentálne metódy zvyšovania výkonnosti a posudzovania životnosti pohonov a konštrukcií vybraných dopravných zariadení,"[BIGOŠ, Peter - KUBÍN, Karol - KUĽKA, Jozef - MANTIČ, Martin - BURÁK, Ján - PUŠKÁR, Michal - TANYASI, Ondrej - FALTINOVÁ, Eva]",Peter Bigoš ... [et al.],4
105774,AAB,2010,Vybrané problémy manažmentu riadenia ľudských zdrojov,"[TEJ, Juraj - ŠIMKOVÁ, Helena - SOROKOVÁ, Tatiana - TREBUŇA, Peter]",J. Tej ... [et al.],1
112770,AAB,2010,Termovízna diagnostika,"[ŽIVČÁK, Jozef - HUDÁK, Radovan - TKÁČOVÁ, Mária]","Jozef Živčák, Radovan Hudák, Mária Tkáčová",0
95661,AAB,2010,Technológie spracovania plastov - Vstrekovanie,"[GREŠKOVIČ, František - DULEBOVÁ, Ľudmila - VARGA, Ján]","František Greškovič, Ľudmila Dulebová, Ján Varga",8
95838,AAB,2010,Modelovanie tenkostenných ortotropných prvkov,"[BOCKO, Jozef]",Jozef Bocko,0
99656,AAB,2010,Environmentálne merania a monitoring v strojárstve,"[KRÁLIKOVÁ, Ružena - BADIDA, Miroslav]","Ružena Králiková, Miroslav Badida",5
111625,AAB,2011,Aplikácia dimenzionálnej analýzy pri modelovaní javov v oblasti energetiky,"[ČARNOGURSKÁ, Mária - PŘÍHODA, Miroslav]","Mária Čarnogurská, Miroslav Příhoda",2
115525,AAB,2011,"Bezpečná technika, bezpečné pracoviská - atribúty prosperujúcej spoločnosti","[SINAY, Juraj]",Juraj Sinay,2
115539,AAB,2011,Možnosti znižovania dopravného hluku,"[BADIDA, Miroslav - LUMNITZER, Ervin - BARTKO, Ladislav]","Miroslav Badida, Ervin Lumnitzer, Ladislav Bartko",0
115572,AAB,2011,Metódy experimentálnej analýzy napätosti,"[TREBUŇA, František - ŠIMČÁK, František]","František Trebuňa, František Šimčák",0
116235,AAB,2011,Materiály v strojárskej výrobe a technológie ich finalizácie,"[JANKURA, Daniel - BREZINOVÁ, Janette - ŠEVČÍKOVÁ, Jarmila - DRAGANOVSKÁ, Dagmar - GUZANOVÁ, Anna]",Daniel Jankura ... [et al.],1
116269,AAB,2011,Meranie geometrických veličín v strojárstve,"[DOVICA, Miroslav - ŽIVČÁK, Jozef - KELEMENOVÁ, Tatiana]","Miroslav Dovica, Jozef Živčák, Tatiana Kelemenová",0
117351,AAB,2011,Virtuálne prototypovanie obrábacích strojov z hľadiska dynamiky procesov obrábania,"[DEMEČ, Peter - SVETLÍK, Jozef - SEMJON, Ján]","Peter Demeč, Jozef Svetlík, Ján Semjon",1
117968,AAB,2011,Tvorba a riadenie inovácií,"[KOVÁČ, Milan - LEŠKOVÁ, Andrea - SABADKA, Dušan - KOVÁČOVÁ, Ľubica]",Milan Kováč ... [et al.],1
119380,AAB,2011,Rehabilitačné inžinierstvo,"[ŠIMŠÍK, Dušan - ŽIVČÁK, Jozef - GALAJDOVÁ, Alena - DOLNÁ, Zlatica - KRAJŇÁK, Stanislav - SZERDIOVÁ, Lenka - ANDRÁŠOVÁ, Marianna - BUJŇÁK, Juraj - HUDÁK, Radovan - SIMAN, Daniel - JUNGER, Ján - KANDRÁČ, Róbert - DZIAKOVÁ, Miriam - ONOFREJOVÁ, Daniela]",Dušan Šimšík ... [et al.],2
127080,AAB,2011,Inovačné projektovanie výrobných procesov a systémov,"[KOVÁČ, Milan - KOVÁČ, Jozef]","Milan Kováč, Jozef Kováč",0
120284,AAB,2012,Tribológia povrchových vrstiev,"[ZDRAVECKÁ, Eva - ONDÁČ, Miroslav]","Eva Zdravecká, Miroslav Ondáč",0
127756,AAB,2012,Kmitanie a modálna analýza mechanických sústav,"[TREBUŇA, František - ŠIMČÁK, František - HUŇADY, Róbert]","František Trebuňa, František Šimčák, Róbert Huňady",1
127757,AAB,2012,Automatizácia v metóde Photostress,"[TREBUŇA, František - JADLOVSKÝ, Ján - FRANKOVSKÝ, Peter - PÁSTOR, Miroslav]",František Trebuňa ... [et al.],0
128667,AAB,2012,Predúpravy povrchov v teórii a praxi,"[BREZINOVÁ, Janette - GUZANOVÁ, Anna - DRAGANOVSKÁ, Dagmar]","Janette Brezinová, Anna Guzanová, Dagmar Draganovská",1
129879,AAB,2012,Optimalizácia NC programovania,"[MADÁČ, Kamil - FABIAN, Michal - KRÁĽ, Ján ml. - MELKO, Jaroslav]",Kamil Madáč ... [et al.],2
131226,AAB,2012,Numerické metódy mechaniky telies a vybrané aplikácie,"[IVANČO, Vladimír - VODIČKA, Roman]","Vladimír Ivančo, Roman Vodička",0
134853,AAB,2012,Goniometria pohybovej sústavy človeka,"[ŽIVČÁK, Jozef - MICHALÍKOVÁ, Monika - TÓTH, Teodor - BEDNARČÍKOVÁ, Lucia]",Jozef Živčák ... [et al.],0
135118,AAB,2012,Inteligentné materiály,"[ZDRAVECKÁ, Eva - REDHAMMER, Robert - VESELÝ, Marián - VOJS, Marián - MARTON, Marián]",Eva Zdravecká ... [et al.],0
134953,AAB,2013,Manažérstvo údržby,"[ABRAHÁMFY, Michal - ALEŠ, Zdeněk - BARTEJS, Pavel - BUZIK, Pavel - BELKO, Dušan - PAČAIOVÁ, Hana]",Michal Abrahámfy ... [et al.],0
137846,AAB,2013,Bezpečnosť pri práci vo vyššom veku,"[SINAY, Juraj - ŠVIDEROVÁ, Katarína]","Juraj Sinay, Katarína Šviderová",0
140511,AAB,2013,Modelovanie mechatronických sústav metodológiou výkonových grafov,"[GMITERKO, Alexander - HRONCOVÁ, Darina]","Alexander Gmiterko, Darina Hroncová",0
140526,AAB,2013,Spoľahlivosť prvkov tlakových sústav,"[TREBUŇA, František - ŠIMČÁK, František]","František Trebuňa, František Šimčák",0
140919,AAB,2013,Plazmové spracovanie a zhodnocovanie odpadu,"[ČARNOGURSKÁ, Mária - LÁZÁR, Marián]","Mária Čarnogurská, Marián Lázár",3
142908,AAB,2013,Znižovanie energetickej náročnosti osvetľovacích  sústav v priemysle,"[KRÁLIKOVÁ, Ružena - BADIDA, Miroslav - KEVICKÁ, Katarína - BARTKO, Ladislav]",Ružena Králiková ... [et al.],0
142909,AAB,2013,Metódy hodnotenia kvality prostredia,"[LUMNITZER, Ervin - BADIDA, Miroslav - BIĽOVÁ, Monika - LEGÁTH, Ľubomír]",Ervin Lumnitzer ... [et al.],0
143027,AAB,2013,Manažérstvo priemyselných havárií,"[ORAVEC, Milan - VARGOVÁ, Slavomíra - ŠOLC, Marek]","Milan Oravec, Slavomíra Vargová, Marek Šolc",1
143391,AAB,2013,Kvalita v zdravotníctve,"[ZGODAVOVÁ, Kristína - ŽIVČÁK, Jozef - HUDÁK, Radovan]","Kristína Zgodavová, Jozef Živčák, Radovan Hudák",0
144486,AAB,2013,Priemyselné inžinierstvo,"[KOVÁČ, Jozef - MIHOK, Jozef]","Jozef Kováč, Jozef Mihok",0
144848,AAB,2013,Meranie intraabdominálneho tlaku,"[ŽIVČÁK, Jozef - TÓTH, Teodor - TREBUŇOVÁ, Marianna]","Jozef Živčák, Teodor Tóth, Marianna Trebuňová",0
152435,AAB,2013,Kalibrácia biomechanických parametrov vybranej ortopedickej diagnostiky,"[ŽIVČÁK, Jozef - MICHALÍKOVÁ, Monika - BEDNARČÍKOVÁ, Lucia]","Jozef Živčák, Monika Michalíková, Lucia Bednarčíková",0
